FECHACORTE;FECHAREGISTRO;CODIGO;NOMBRE;CATEGORIA;NIVEL;INSTITUCIÓN;GRUPO;SUB_GRUPO;MACROREGIONES;UBIGEO;REGION;PROVINCIA;DISTRITO;CIL_TOT_CILINDROS;CIL_TOT_PROPIOS;CIL_TOT_TERCEROS;CIL_VOL_POT_MT3;CIL_NU_CIL_LLEN_INI_DU24;CIL_NU_CIL_REABAST_DU24;CIL_VOL_DISP_M3_DU24;CIL_NU_CIL_CONSUM_CU24;CIL_VOL_M3_CU24;CIL_SAL_FIN_M3_CU24
20210331;31/03/2021 06:11;9748;HOSPITAL I OXAPAMPA;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Centro;190301;PASCO;OXAPAMPA;OXAPAMPA;49;10;39;490;30;0;300;5;50;250
20210331;31/03/2021 06:30;10244;HOSPITAL II JORGE REATEGUI DELGADO;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Norte;200101;PIURA;PIURA;PIURA;39;30;9;112;20;11;95;8;52;43
20210331;31/03/2021 07:22;10533;"HOSPITAL II LIMA NORTE CALLAO ""LUIS NEGREIROS VEGA"" ESSALUD";II-2;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;;70101;CALLAO;CALLAO;CALLAO;53;29;24;530;5;12;170;12;120;50
20210331;31/03/2021 07:25;13911;MARIA REICHE NEUMAN;I-3;Nivel 1;ESSALUD;PÚBLICOS;ESSALUD;Zona Sur;110304;ICA;NAZCA;MARCONA;30;20;10;260;30;10;360;8;80;280
20210331;31/03/2021 07:31;6216;INSTITUTO NACIONAL DE SALUD DEL NIÃ‘O;III-2;Nivel 3;MINSA;PÚBLICOS;MINSA/GR;;150105;LIMA;LIMA;BREÃ‘A;131;91;40;552;32;0;165;1;1;164
20210331;31/03/2021 08:02;8656;HOSPITAL  SELVA CENTRAL Y ENFERMEDADES TROPICALES LA MERCED;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Centro;120301;JUNIN;CHANCHAMAYO;CHANCHAMAYO;71;25;46;710;57;10;670;26;260;410
20210331;31/03/2021 07:38;6209;INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS;III-2;Nivel 3;MINSA;PÚBLICOS;MINSA/GR;;150101;LIMA;LIMA;LIMA;30;0;30;300;10;0;100;10;100;0
20210331;31/03/2021 07:43;27312;clinica especializada amazonica sac;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Oriente;250101;UCAYALI;CORONEL PORTILLO;CALLERIA;5;5;0;50;5;0;50;0;0;50
20210331;31/03/2021 07:50;16153;HOSPITAL II ILO;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Sur;180301;MOQUEGUA;ILO;ILO;80;50;30;480;30;30;360;30;180;180
20210331;31/03/2021 15:43;25573;Creo ClÃ­nica Renal y OncolÃ³gica;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150135;LIMA;LIMA;SAN MARTIN DE PORRES;28;28;0;280;13;0;130;0;0;130
20210331;31/03/2021 07:50;4782;BAMBAMARCA - TITO VILLAR CABEZAS;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;60701;CAJAMARCA;HUALGAYOC;BAMBAMARCA;40;40;0;400;29;0;290;14;140;150
20210331;31/03/2021 08:08;9180;HOSPITAL I TINGO MARIA;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Oriente;100601;HUANUCO;LEONCIO PRADO;RUPA-RUPA;78;12;66;752;70;0;700;4;40;660
20210331;31/03/2021 17:43;7152;HOSPITAL DISTRITAL ALTO MOCHE-WALTER CRUZ VILCA;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;130107;LA LIBERTAD;TRUJILLO;MOCHE;65;19;46;553;12;18;112;0;0;112
20210331;31/03/2021 09:45;4370;HOSPITAL BELEN - LAMBAYEQUE;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;140301;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;52;22;30;470;47;1;380;1;10;370
