"","x"
"1","<U+0001F1F8><U+0001F1FB><U+0001F4F0>  Follow @_elfaro_’s coverage of today’s elections in #ElSalvador.
#Elecciones2021 https://t.co/MpGNqkViO5"
"2","Somos la resistencia.

We are the counter hegemonic bloc!
Hear us resist those who think they are above the law and above human dignity.

No more!

#Elecciones2021 https://t.co/YhCBib348Y"
"3","Today Salvadorans will decide the 84 legislators that will represent them for the next three years. President Bukele’s allies are expected to win a majority of seats. I’ve been speaking to voters in El Salvador this week and this is what some of them had to say. #Elecciones2021"
"4","Some voting centers had delays opening for El Salvador's elections, but most centers are now open. Lines stretch around the block at some of San Salvador's biggest voting centers #28F #Elecciones2021 https://t.co/RIW9yovAzo"
"5","Choose your fighter
#Elecciones2021 https://t.co/fAEJKcjBcS"
"6","Done<U+0001F5F3><U+0001F64C><U+0001F3FB> #Elecciones2021 https://t.co/ceHIffjtgn"
"7","HOLD THE LINE! 
HOLD <U+0001F44F>THE<U+0001F44F>LINE<U+0001F44F>
#Elecciones2021"
"8","Check out this analysis regarding President Bukele’s fraud narrative <U+0001F440>

<U+0001F4F0> Sharing some translated excerpts below, read the full article here: https://t.co/GAv4IsIHFJ

#28F #ElSalvadorElections2021 #Elecciones2021 https://t.co/6w1ZyhJX2a"
"9","The unfair fight in Bengal<U+0964> #Elecciones2021 https://t.co/loJhLKqhO5"
"10","""This is why we can't have nice things."" #Elecciones2021"
"11","I voted #Elecciones2021 #votomatafraude https://t.co/XHLCBg5tnw"
"12","I voted <U+0001F5F3> #Elecciones2021 https://t.co/eEdSQJvObI"
"13","Like #panicattack #Elecciones2021"
"14","Aglomeraciones everywhere! #Elecciones2021"
"15","Peru, IEP poll:

Parliamentary election

AP (centre): 16% (+5)
SP (centre-right): 12% (-4)
PM (liberal): 11% (-8)
FREPAP (*): 11% (+3)
...

(+/- vs. 21-27 Jan '21)

Fieldwork: 19-23 Feb '21
Sample size: 1,220

#Peru #Elecciones2021 #EG2021 https://t.co/8K0I7hui9W"
"16","Peru, IEP poll:

Presidential election

Lescano (AP, centre): 16% (+5)
Mendoza (JPP, left): 13% (+1)
Fujimori (FP, right): 12% (+2)
Forsyth (VN, centre-right): 12% (-8)
...

(+/- vs. 21-27 Jan '21)

Fieldwork: 19-23 Feb '21
Sample: 1,220

#Peru #Elecciones2021 #EleccionesPeru https://t.co/CjiGL2acLt"
"17","El Salvador: Polls are open in today’s legislative and local elections.

#ElSalvador #ElSalvadorDecide
#ElSalvador28F #EleccionesSV #Elecciones2021"
